
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.100220, Drift Rate -0.181763, index 94522
Top hit found! SNR 385.369446, Drift Rate -0.133931, index 201963
Top hit found! SNR 3580.592285, Drift Rate -0.086098, index 309404
Top hit found! SNR 1222.620361, Drift Rate 0.277428, index 310982
Top hit found! SNR 312.307648, Drift Rate 0.038266, index 349480
Top hit found! SNR 15.646136, Drift Rate 0.019133, index 352283
Top hit found! SNR 272824.562500, Drift Rate -0.028699, index 416847
Top hit found! SNR 6951.474609, Drift Rate -0.000000, index 422710
Top hit found! SNR 21.703846, Drift Rate -0.000000, index 431894
Top hit found! SNR 637.158142, Drift Rate -0.019133, index 436883
Top hit found! SNR 25.670513, Drift Rate -0.076532, index 456917
Top hit found! SNR 18.130344, Drift Rate 0.095665, index 464189
Top hit found! SNR 13.211843, Drift Rate -0.086098, index 469648
Top hit found! SNR 13.762604, Drift Rate -0.076532, index 471481
Top hit found! SNR 28.654200, Drift Rate -0.066965, index 476953
Top hit found! SNR 43.660034, Drift Rate -0.133931, index 484211
Top hit found! SNR 32.942810, Drift Rate -0.009566, index 490015
Top hit found! SNR 217.752762, Drift Rate -0.000000, index 491520
Top hit found! SNR 21.791040, Drift Rate -0.000000, index 501378
Top hit found! SNR 28.441849, Drift Rate -0.000000, index 504251
Top hit found! SNR 88.462250, Drift Rate -0.000000, index 509015
Top hit found! SNR 41.121468, Drift Rate -0.000000, index 516555
Top hit found! SNR 146637.171875, Drift Rate 0.019133, index 524289
Top hit found! SNR 41.121468, Drift Rate -0.000000, index 532021
Top hit found! SNR 88.462257, Drift Rate -0.000000, index 539561
